name,unicode,sideBar,sortName,category,subCategory,anchors,accents,production,decompose,script,altNames,description
ka-khmer,1780,Consonants,kh000,Letter,,"top, bottom",,uni1780,,khmer,,KHMER LETTER KA
kha-khmer,1781,Consonants,kh002,Letter,,"top, bottom",,uni1781,,khmer,,KHMER LETTER KHA
ko-khmer,1782,Consonants,kh004,Letter,,"top, bottom",,uni1782,,khmer,,KHMER LETTER KO
kho-khmer,1783,Consonants,kh006,Letter,,"top, bottom",,uni1783,,khmer,,KHMER LETTER KHO
ngo-khmer,1784,Consonants,kh008,Letter,,"top, bottom",,uni1784,,khmer,,KHMER LETTER NGO
ca-khmer,1785,Consonants,kh010,Letter,,"top, bottom",,uni1785,,khmer,,KHMER LETTER CA
cha-khmer,1786,Consonants,kh012,Letter,,"top, bottom",,uni1786,,khmer,,KHMER LETTER CHA
co-khmer,1787,Consonants,kh014,Letter,,"top, bottom",,uni1787,,khmer,,KHMER LETTER CO
cho-khmer,1788,Consonants,kh016,Letter,,"top, bottom",,uni1788,,khmer,,KHMER LETTER CHO
nyo-khmer,1789,Consonants,kh018,Letter,,"top, bottom",,uni1789,,khmer,,KHMER LETTER NYO
nyo-khmer.less,,Consonants,,Letter,,"top, bottom",,uni1789.less,,khmer,,KHMER LETTER NYO WITHOUT MARK
da-khmer,178A,Consonants,kh020,Letter,,"top, bottom",,uni178A,,khmer,,KHMER LETTER DA
ttha-khmer,178B,Consonants,kh022,Letter,,"top, bottom",,uni178B,,khmer,,KHMER LETTER TTHA
do-khmer,178C,Consonants,kh024,Letter,,"top, bottom",,uni178C,,khmer,,KHMER LETTER DO
ttho-khmer,178D,Consonants,kh026,Letter,,"top, bottom",,uni178D,,khmer,,KHMER LETTER TTHO
nno-khmer,178E,Consonants,kh028,Letter,,"top, bottom",,uni178E,,khmer,,KHMER LETTER NNO
ta-khmer,178F,Consonants,kh030,Letter,,"top, bottom",,uni178F,,khmer,,KHMER LETTER TA
tha-khmer,1790,Consonants,kh032,Letter,,"top, bottom",,uni1790,,khmer,,KHMER LETTER THA
to-khmer,1791,Consonants,kh034,Letter,,"top, bottom",,uni1791,,khmer,,KHMER LETTER TO
tho-khmer,1792,Consonants,kh036,Letter,,"top, bottom",,uni1792,,khmer,,KHMER LETTER THO
no-khmer,1793,Consonants,kh038,Letter,,"top, bottom",,uni1793,,khmer,,KHMER LETTER NO
